idx,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,sex,other_debtors/guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
99,2,36,critical_account/other_credits_existing_not_at_this_bank,radio/television,2337,1,4,4,male_single,male,none,4,real_estate,36,none,own,1,2,1,0,1,1
100,2,20,delay_in_paying_off_in_the_past,car_(used),7057,0,3,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,36,bank,rent,2,3,2,1,1,1
101,0,24,existing_credits_paid_back_duly_till_now,car_(new),1469,2,4,4,male_married/widowed,male,none,4,real_estate,41,none,rent,1,1,1,0,1,1
102,2,36,existing_credits_paid_back_duly_till_now,radio/television,2323,1,3,4,male_single,male,none,4,car_or_other,24,none,rent,1,2,1,0,1,1
103,0,6,delay_in_paying_off_in_the_past,radio/television,932,1,2,3,female_divorced/separated/married,female,none,2,real_estate,24,none,own,1,2,1,0,1,1
104,2,9,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1919,1,3,4,male_single,male,none,3,car_or_other,35,none,rent,1,2,1,1,1,1
105,0,12,existing_credits_paid_back_duly_till_now,car_(used),2445,0,1,2,male_married/widowed,male,none,4,car_or_other,26,none,rent,1,2,1,1,1,1
106,2,24,critical_account/other_credits_existing_not_at_this_bank,others,11938,1,2,2,male_single,male,co-applicant,3,car_or_other,39,none,own,2,3,2,1,1,0
107,0,18,all_credits_at_this_bank_paid_back_duly,car_(new),6458,1,4,2,male_single,male,none,4,unknown/no_property,39,bank,own,2,3,2,1,1,0
108,2,12,existing_credits_paid_back_duly_till_now,car_(new),6078,1,3,2,male_single,male,none,2,car_or_other,32,none,own,1,2,1,0,1,1
109,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,7721,0,1,1,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,30,none,own,1,2,1,1,0,1
110,2,14,existing_credits_paid_back_duly_till_now,business,1410,3,4,1,male_married/widowed,male,none,2,real_estate,35,none,own,1,2,1,1,1,1
111,2,6,delay_in_paying_off_in_the_past,business,1449,2,4,1,male_divorced/separated,male,none,2,car_or_other,31,bank,own,2,2,2,0,1,1
112,3,15,existing_credits_paid_back_duly_till_now,education,392,1,1,4,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,23,none,rent,1,2,1,1,1,1
113,2,18,existing_credits_paid_back_duly_till_now,car_(new),6260,1,3,3,male_single,male,none,3,real_estate,28,none,rent,1,1,1,0,1,1
114,0,36,critical_account/other_credits_existing_not_at_this_bank,car_(new),7855,1,2,4,female_divorced/separated/married,female,none,2,real_estate,25,stores,own,2,2,1,1,1,0
115,1,12,existing_credits_paid_back_duly_till_now,radio/television,1680,3,4,3,male_married/widowed,male,none,1,real_estate,35,none,own,1,2,1,0,1,1
116,0,48,critical_account/other_credits_existing_not_at_this_bank,radio/television,3578,0,4,4,male_single,male,none,1,real_estate,47,none,own,1,2,1,1,1,1
117,1,42,existing_credits_paid_back_duly_till_now,radio/television,7174,0,3,4,female_divorced/separated/married,female,none,3,car_or_other,30,none,own,1,3,1,1,1,0
118,1,10,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2132,0,1,2,female_divorced/separated/married,female,co-applicant,3,real_estate,27,none,rent,2,2,1,0,0,1
119,1,33,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,4281,3,2,1,female_divorced/separated/married,female,none,4,car_or_other,23,none,own,2,2,1,0,1,0
120,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),2366,3,3,3,male_divorced/separated,male,none,3,car_or_other,36,none,own,1,3,1,1,1,1
121,1,21,existing_credits_paid_back_duly_till_now,radio/television,1835,1,2,3,female_divorced/separated/married,female,none,2,real_estate,25,none,own,2,2,1,1,1,0
122,0,24,critical_account/other_credits_existing_not_at_this_bank,car_(used),3868,1,4,4,female_divorced/separated/married,female,none,2,car_or_other,41,none,rent,2,3,1,1,1,1
123,0,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1768,1,2,3,male_single,male,none,2,real_estate,24,none,rent,1,1,1,0,1,1
124,3,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),781,1,4,4,male_single,male,none,4,unknown/no_property,63,none,for free,2,2,1,1,1,1
125,2,18,existing_credits_paid_back_duly_till_now,furniture/equipment,1924,0,1,4,female_divorced/separated/married,female,none,3,real_estate,27,none,rent,1,2,1,0,1,0
126,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),2121,1,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,30,none,own,2,2,1,0,1,1
127,1,12,existing_credits_paid_back_duly_till_now,radio/television,701,1,2,4,male_married/widowed,male,none,2,real_estate,40,none,own,1,1,1,0,1,1
128,2,12,existing_credits_paid_back_duly_till_now,repairs,639,1,2,4,male_single,male,none,2,car_or_other,30,none,own,1,2,1,0,1,0
129,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1860,1,0,4,male_single,male,none,2,car_or_other,34,none,own,2,3,1,1,1,1
130,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),3499,1,2,3,female_divorced/separated/married,female,co-applicant,2,real_estate,29,none,own,2,2,1,0,1,0
131,2,48,existing_credits_paid_back_duly_till_now,car_(new),8487,0,3,1,female_divorced/separated/married,female,none,2,car_or_other,24,none,own,1,2,1,0,1,1
132,1,36,delay_in_paying_off_in_the_past,education,6887,1,2,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,29,stores,own,1,2,1,1,1,0
133,0,15,existing_credits_paid_back_duly_till_now,furniture/equipment,2708,1,1,2,male_single,male,none,3,building_society_savings_agreement/life_insurance,27,bank,own,2,1,1,0,1,1
134,0,18,existing_credits_paid_back_duly_till_now,furniture/equipment,1984,1,2,4,male_single,male,none,4,unknown/no_property,47,bank,for free,2,2,1,0,1,1
135,0,60,existing_credits_paid_back_duly_till_now,radio/television,10144,2,3,2,female_divorced/separated/married,female,none,4,real_estate,21,none,own,1,2,1,1,1,1
136,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,1240,0,4,4,female_divorced/separated/married,female,none,2,real_estate,38,none,own,2,2,1,1,1,1
137,0,27,delay_in_paying_off_in_the_past,car_(used),8613,4,2,2,male_single,male,none,2,car_or_other,27,none,own,2,2,1,0,1,1
138,2,12,existing_credits_paid_back_duly_till_now,radio/television,766,3,2,4,male_single,male,none,3,real_estate,66,none,own,1,1,1,0,1,0
139,2,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,2728,0,3,4,male_single,male,guarantor,2,real_estate,35,bank,own,3,2,1,1,1,1
140,3,12,existing_credits_paid_back_duly_till_now,radio/television,1881,1,2,2,female_divorced/separated/married,female,none,2,car_or_other,44,none,rent,1,1,1,1,1,1
141,3,6,existing_credits_paid_back_duly_till_now,car_(new),709,4,1,2,male_married/widowed,male,none,2,real_estate,27,none,own,1,0,1,0,0,1
142,2,36,existing_credits_paid_back_duly_till_now,radio/television,4795,1,1,4,female_divorced/separated/married,female,none,1,unknown/no_property,30,none,own,1,3,1,1,1,1
143,1,27,existing_credits_paid_back_duly_till_now,radio/television,3416,1,2,3,male_single,male,none,2,car_or_other,27,none,own,1,3,1,0,1,1
144,1,18,existing_credits_paid_back_duly_till_now,furniture/equipment,2462,1,2,2,male_single,male,none,2,car_or_other,22,none,own,1,2,1,0,1,0
145,0,21,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2288,1,1,4,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,23,none,own,1,2,1,1,1,1
146,2,48,all_credits_at_this_bank_paid_back_duly,business,3566,2,3,4,male_single,male,none,2,car_or_other,30,none,own,1,2,1,0,1,1
147,1,6,critical_account/other_credits_existing_not_at_this_bank,car_(new),860,1,4,1,female_divorced/separated/married,female,none,4,unknown/no_property,39,none,own,2,2,1,1,1,1
148,0,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),682,2,3,4,female_divorced/separated/married,female,none,3,car_or_other,51,none,own,2,2,1,1,1,1
149,1,36,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,5371,1,2,3,male_single,male,guarantor,2,building_society_savings_agreement/life_insurance,28,none,own,2,2,1,0,1,1
150,0,18,critical_account/other_credits_existing_not_at_this_bank,radio/television,1582,4,4,4,male_single,male,none,4,car_or_other,46,none,own,2,2,1,0,1,1
151,0,6,existing_credits_paid_back_duly_till_now,radio/television,1346,2,4,2,male_single,male,none,4,unknown/no_property,42,bank,for free,1,2,2,1,1,1
152,0,10,existing_credits_paid_back_duly_till_now,radio/television,1924,1,2,1,male_single,male,none,4,building_society_savings_agreement/life_insurance,38,none,own,1,2,1,1,0,1
153,3,36,existing_credits_paid_back_duly_till_now,radio/television,5848,1,2,4,male_single,male,none,1,car_or_other,24,none,own,1,2,1,0,1,1
154,2,24,critical_account/other_credits_existing_not_at_this_bank,car_(used),7758,4,4,2,female_divorced/separated/married,female,none,4,unknown/no_property,29,none,rent,1,2,1,0,1,1
155,2,24,delay_in_paying_off_in_the_past,business,6967,2,3,4,male_single,male,none,4,car_or_other,36,none,rent,1,3,1,1,1,1
156,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1282,1,2,2,female_divorced/separated/married,female,none,4,car_or_other,20,none,rent,1,2,1,0,1,0
157,1,9,critical_account/other_credits_existing_not_at_this_bank,repairs,1288,2,4,3,male_single,male,guarantor,4,real_estate,48,none,own,2,2,2,0,0,1
158,1,12,all_credits_at_this_bank_paid_back_duly,retraining,339,1,4,4,male_married/widowed,male,none,1,car_or_other,45,bank,own,1,1,1,0,1,1
159,2,24,existing_credits_paid_back_duly_till_now,car_(new),3512,2,3,2,male_single,male,none,3,car_or_other,38,bank,own,2,2,1,1,1,1
160,0,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,1898,0,2,1,male_single,male,none,2,real_estate,34,none,own,2,1,2,0,1,1
161,0,24,critical_account/other_credits_existing_not_at_this_bank,radio/television,2872,2,4,3,male_single,male,none,4,real_estate,36,none,own,1,2,2,1,1,1
162,0,18,critical_account/other_credits_existing_not_at_this_bank,car_(new),1055,1,1,4,female_divorced/separated/married,female,none,1,building_society_savings_agreement/life_insurance,30,none,own,2,2,1,0,1,1
163,0,15,existing_credits_paid_back_duly_till_now,domestic_appliances,1262,3,3,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,36,none,own,2,2,1,1,1,1
164,2,10,existing_credits_paid_back_duly_till_now,car_(new),7308,1,0,2,male_single,male,none,4,unknown/no_property,70,bank,for free,1,3,1,1,1,1
165,0,36,existing_credits_paid_back_duly_till_now,car_(new),909,3,4,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,36,none,own,1,2,1,0,1,1
166,0,6,existing_credits_paid_back_duly_till_now,furniture/equipment,2978,3,2,1,male_single,male,none,2,car_or_other,32,none,own,1,2,1,1,1,1
167,1,18,existing_credits_paid_back_duly_till_now,furniture/equipment,1131,1,0,4,female_divorced/separated/married,female,none,2,car_or_other,33,none,own,1,2,1,0,1,0
168,2,11,existing_credits_paid_back_duly_till_now,furniture/equipment,1577,4,1,4,female_divorced/separated/married,female,none,1,real_estate,20,none,own,1,2,1,0,1,1
169,0,24,existing_credits_paid_back_duly_till_now,furniture/equipment,3972,1,3,2,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,25,none,rent,1,2,1,1,1,1
170,2,24,critical_account/other_credits_existing_not_at_this_bank,business,1935,1,4,4,male_divorced/separated,male,none,4,real_estate,31,none,own,2,2,1,1,1,0
171,1,15,no_credits_taken/all_credits_paid_back_duly,car_(new),950,1,4,4,male_single,male,none,3,car_or_other,33,none,rent,2,2,2,0,1,0
172,0,12,existing_credits_paid_back_duly_till_now,furniture/equipment,763,1,2,4,female_divorced/separated/married,female,none,1,real_estate,26,none,own,1,2,1,1,1,1
173,2,24,delay_in_paying_off_in_the_past,furniture/equipment,2064,1,0,3,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,34,none,own,1,3,1,1,1,0
174,2,8,existing_credits_paid_back_duly_till_now,radio/television,1414,1,2,4,male_single,male,guarantor,2,real_estate,33,none,own,1,2,1,0,0,1
175,1,21,delay_in_paying_off_in_the_past,education,3414,1,1,2,male_single,male,none,1,building_society_savings_agreement/life_insurance,26,none,own,2,2,1,0,1,0
176,0,30,all_credits_at_this_bank_paid_back_duly,car_(used),7485,0,0,4,female_divorced/separated/married,female,none,1,real_estate,53,bank,own,1,3,1,1,1,0
177,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,2577,1,2,2,male_divorced/separated,male,none,1,car_or_other,42,none,own,1,2,1,0,1,1
178,1,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,338,3,4,4,male_single,male,none,4,car_or_other,52,none,own,2,2,1,0,1,1
179,0,12,existing_credits_paid_back_duly_till_now,radio/television,1963,1,3,4,male_single,male,none,2,car_or_other,31,none,rent,2,3,2,1,1,1
180,1,21,critical_account/other_credits_existing_not_at_this_bank,car_(new),571,1,4,4,male_single,male,none,4,real_estate,65,none,own,2,2,1,0,1,1
181,0,36,delay_in_paying_off_in_the_past,business,9572,1,1,1,male_divorced/separated,male,none,1,car_or_other,28,none,own,2,2,1,0,1,0
182,2,36,delay_in_paying_off_in_the_past,business,4455,1,2,2,male_divorced/separated,male,none,2,real_estate,30,stores,own,2,3,1,1,1,0
183,1,21,all_credits_at_this_bank_paid_back_duly,car_(new),1647,0,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,40,none,own,2,1,2,0,1,0
184,0,24,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,3777,4,2,4,male_single,male,none,4,real_estate,50,none,own,1,2,1,1,1,1
185,2,18,critical_account/other_credits_existing_not_at_this_bank,car_(new),884,1,4,4,male_single,male,none,4,car_or_other,36,bank,own,1,2,2,1,1,0
186,0,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,1360,1,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,31,none,own,2,2,1,0,1,1
187,2,9,all_credits_at_this_bank_paid_back_duly,car_(used),5129,1,4,2,female_divorced/separated/married,female,none,4,unknown/no_property,74,bank,for free,1,3,2,1,1,0
188,2,16,critical_account/other_credits_existing_not_at_this_bank,car_(new),1175,1,0,2,male_single,male,none,3,car_or_other,68,none,for free,3,0,1,1,1,1
189,1,12,existing_credits_paid_back_duly_till_now,radio/television,674,2,3,4,male_married/widowed,male,none,1,building_society_savings_agreement/life_insurance,20,none,own,1,2,1,0,1,0
190,2,18,no_credits_taken/all_credits_paid_back_duly,furniture/equipment,3244,1,2,1,female_divorced/separated/married,female,none,4,car_or_other,33,bank,own,2,2,1,1,1,1
191,0,24,existing_credits_paid_back_duly_till_now,business,4591,4,2,2,male_single,male,none,3,building_society_savings_agreement/life_insurance,54,none,own,3,3,1,1,1,0
192,2,48,no_credits_taken/all_credits_paid_back_duly,business,3844,2,3,4,male_single,male,none,4,unknown/no_property,34,none,for free,1,1,2,0,1,0
193,2,27,existing_credits_paid_back_duly_till_now,business,3915,1,2,4,male_single,male,none,2,car_or_other,36,none,own,1,2,2,1,1,0
194,0,6,existing_credits_paid_back_duly_till_now,radio/television,2108,1,3,2,male_married/widowed,male,none,2,real_estate,29,none,rent,1,2,1,0,1,1
195,2,45,existing_credits_paid_back_duly_till_now,radio/television,3031,2,2,4,male_single,male,guarantor,4,building_society_savings_agreement/life_insurance,21,none,rent,1,2,1,0,1,0
196,2,9,critical_account/other_credits_existing_not_at_this_bank,education,1501,1,4,2,female_divorced/separated/married,female,none,3,car_or_other,34,none,own,2,3,1,1,1,0
197,0,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,1382,1,2,1,female_divorced/separated/married,female,none,1,car_or_other,28,none,own,2,2,1,1,1,1
198,2,12,existing_credits_paid_back_duly_till_now,furniture/equipment,951,2,1,4,female_divorced/separated/married,female,none,4,car_or_other,27,bank,rent,4,2,1,0,1,0
199,2,24,existing_credits_paid_back_duly_till_now,car_(used),2760,0,4,4,male_single,male,none,4,unknown/no_property,36,bank,for free,1,2,1,1,1,1
200,2,18,delay_in_paying_off_in_the_past,furniture/equipment,4297,1,4,4,male_divorced/separated,male,none,3,unknown/no_property,40,none,own,1,3,1,1,1,0